	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
HP:0001252	0.030099662358889456	0.0003222446288004224	DGCR6;ACADM;ACADM;ACADS;ACO2;ACOX1;ACP2;ADCY6;ARHGAP31;ALPL;GNPAT;AMT;FKBP6;PEX3;PEX3;MTFMT;BCKDHA;BCKDHB;SUCLA2;BMP4;BTD;BTD;EIF2B3;AP1S2;CRPPA;NFS1;LARGE1;LARGE1;LARGE1;LARGE1;CHRND;LONP1;LONP1;LONP1;PLAA;PLAA;COX5A;COG1;PEX16;PEX16;B3GALNT2;B3GALNT2;COX15;MINPP1;CPT1A;CPT1A;CPT2;HS2ST1;HS2ST1;ATPAF2;COX20;PUS3;PET100;PTDSS1;PTDSS1;DBT;HIBCH;DHCR7;MED12;NDUFAF2;NDUFAF2;TPRKB;EDN3;EXOC8;LRPPRC;COQ7;TACO1;ETFA;ETFB;ETFDH;WDR81;ADGRV1;RSRC1;ZBTB7A;KAT8;PIBF1;FMR1;FMR1;FMR1;ACAD8;ACAD8;KLF13;MTOR;GALE;GCDH;GRID2;HSD17B10;HSD17B10;HADHA;HADHA;HADHA;HADHB;HADHB;HSPD1;IDH2;NDUFA11;JARID2;KCNB1;KCNJ11;KCNJ11;KIT;LCA5;AFF3;MEF2C;MLH1;MPI;NDUFAF4;MMUT;MMUT;MMUT;NDUFA2;NDUFA6;NDUFA8;NDUFA9;NDUFB9;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS4;NDUFS4;NDUFS6;NDUFS8;NDUFS8;NDUFV2;NDUFV2;NF1;OGDH;PC;PCYT1A;PDHA1;PDHA1;PDHA1;PDHB;PEX7;PEX13;PEX13;PEX13;PHKB;PHYH;PIK3CA;PIK3CA;PIK3CA;RETREG1;NDUFB11;NDUFAF5;NDUFAF5;PPP2R1A;PRODH;RELN;NDUFS7;NDUFS7;PSMD12;PSMD12;PTCH1;PTEN;PROKR2;PTS;TMEM70;PEX5;PEX5;PEX5;RAPSN;OXR1;RET;RET;DARS2;ALG9;RREB1;FDX2;DHTKD1;SDHA;SDHD;FOXRED1;FOXRED1;ARX;ARX;ARX;DOLK;ST3GAL3;OSGEP;NUBPL;PEX26;PEX26;SLC6A8;PUS1;SMARCD1;SMS;PRDM16;SOS2;SOX5;SPATA7;ZNF423;MCCC2;MCCC2;IFIH1;NDUFA12;PMPCA;SURF1;SURF1;SYNE2;STRA6;STRA6;TBCD;TCF4;TCF4;TCF4;TK2;MMAB;TNXB;LEMD3;KCNE5;TULP1;HIRA;UQCRFS1;VLDLR;VLDLR;NMNAT1;TWNK;MCCC1;MCCC1;MRPS22;LUZP1;ALDH5A1;ALDH5A1;JMJD1C	Hypotonia	231	1233	178.2618546690403	1.2958464974398083	1.5214383760504626
HP:0007206	0.030945887217637812	0.0003382064176791018	NPRL2;MTOR;MTOR;IFNG;PIK3CA;PTEN;TSC1;TSC1;TSC2;TSC2	Hemimegalencephaly	10	20	2.891514268759778	3.4583955223880594	1.509397061583194
HP:0003402	0.0312649169827681	0.0003382064176791018	CHRNA1;CHRNA1;CHRNA1;CHRNB1;CHRNB1;CHRND;CHRND;CHRND;RAPSN;SCN4A	Decreased Miniature Endplate Potentials	10	20	2.891514268759778	3.4583955223880594	1.504942720156944
HP:0030199	0.035604964967529004	0.0003930959665200593	ACADM;CHRNA1;CHRNA1;CHRNB1;CHRNB1;CHRND;CHRND;RAPSN;SCN4A	Fatigable Weakness Of Neck Muscles	9	17	2.457787128445811	3.661830553116769	1.4484894372054118
HP:0100273	0.03602601680160413	0.00040979744772651075	BLM;KIT;KIT;SDHA;SDHB;SDHC;STK11	Neoplasm Of The Colon	7	11	1.5903328478178778	4.4015943012211665	1.4433837527736801
HP:0012734	0.03674653713763622	0.00040979744772651075	ACADS;TXNRD2;ACAD8;MC2R;PHKB;MRAP;NNT	Ketotic Hypoglycemia	7	11	1.5903328478178778	4.4015943012211665	1.4347835810117626
HP:0045045	0.03638271003726358	0.00040979744772651075	ACADS;CPT2;CPT2;CPT2;ACAD8;HADHA;HADHB	Elevated Circulating Acylcarnitine Concentration	7	11	1.5903328478178778	4.4015943012211665	1.4391049547944053
HP:0100751	0.03716298865016726	0.00042687496720946003	BLM;KIT;KIT;AAGAB;SDHA;SDHB;SDHC;STK11	Esophageal Neoplasm	8	14	2.0240599881318446	3.9524520255863536	1.4298893672810924
HP:0003530	0.041466983052562384	0.0004809374637522569	DNAJC19;ETFA;ETFB;ETFDH;GCDH	Elevated Circulating Glutaric Acid Concentration	5	6	0.8674542806279333	5.763992537313433	1.3822975607605745
HP:0030074	0.049612647752040925	0.0005920099597935072	SDHAF2;SDHB;SDHC;SDHD	Chemodectoma	4	4	0.5783028537519556	6.91679104477612	1.3044075947050773
HP:0500231	0.04915327138396647	0.0005920099597935072	LONP1;DLAT;PDHA1;PDHX	Abnormal Csf Pyruvate Family Amino Acid Concentration	4	4	0.5783028537519556	6.91679104477612	1.3084475725068172
HP:0001664	0.04938321079930041	0.0006002866038946966	KCNE1;KCNE1;KCNE1;KCNE1;KCNJ2;KCNQ1;KCNQ1;KCNQ1;KCNQ1;KCNQ1;RYR2;SCN4B;SNTA1;SNTA1	Torsade De Pointes	14	36	5.2047256837676	2.689863184079602	1.30642067651251
