Genes	MitoPathways_Hierarchy
 MFN2	Mitochondrial_dynamics_and_surveillance
 MGARP	Mitochondrial_dynamics_and_surveillance
 MICOS10	Mitochondrial_dynamics_and_surveillance
 MICOS13	Mitochondrial_dynamics_and_surveillance
 MIEF1	Mitochondrial_dynamics_and_surveillance
 MIEF2	Mitochondrial_dynamics_and_surveillance
 MIGA1	Mitochondrial_dynamics_and_surveillance
 MIGA2	Mitochondrial_dynamics_and_surveillance
 MTCH2	Mitochondrial_dynamics_and_surveillance
 MTFP1	Mitochondrial_dynamics_and_surveillance
 MTFR1	Mitochondrial_dynamics_and_surveillance
 MTFR2	Mitochondrial_dynamics_and_surveillance
 MTX1	Mitochondrial_dynamics_and_surveillance
 MTX2	Mitochondrial_dynamics_and_surveillance
 MTX3	Mitochondrial_dynamics_and_surveillance
 MUL1	Mitochondrial_dynamics_and_surveillance
 MYO19	Mitochondrial_dynamics_and_surveillance
 NBR1	Mitochondrial_dynamics_and_surveillance
 NIPSNAP1	Mitochondrial_dynamics_and_surveillance
 NIPSNAP2	Mitochondrial_dynamics_and_surveillance
 OMA1	Mitochondrial_dynamics_and_surveillance
 OPA1	Mitochondrial_dynamics_and_surveillance
 PARK7	Mitochondrial_dynamics_and_surveillance
 PARL	Mitochondrial_dynamics_and_surveillance
 PGAM5	Mitochondrial_dynamics_and_surveillance
 PIGBOS1	Mitochondrial_dynamics_and_surveillance
 PINK1	Mitochondrial_dynamics_and_surveillance
 PLD6	Mitochondrial_dynamics_and_surveillance
 PMAIP1	Mitochondrial_dynamics_and_surveillance
 PRKN	Mitochondrial_dynamics_and_surveillance
 RAB24	Mitochondrial_dynamics_and_surveillance
 RHOT1	Mitochondrial_dynamics_and_surveillance
 RHOT2	Mitochondrial_dynamics_and_surveillance
 RMDN3	Mitochondrial_dynamics_and_surveillance
 RTL10	Mitochondrial_dynamics_and_surveillance
 SAMM50	Mitochondrial_dynamics_and_surveillance
 SEPTIN4	Mitochondrial_dynamics_and_surveillance
 SLC25A46	Mitochondrial_dynamics_and_surveillance
 SNAP29	Mitochondrial_dynamics_and_surveillance
 SPHK2	Mitochondrial_dynamics_and_surveillance
 SPIRE1	Mitochondrial_dynamics_and_surveillance
 STX17	Mitochondrial_dynamics_and_surveillance
 STYXL1	Mitochondrial_dynamics_and_surveillance
 SYNJ2BP	Mitochondrial_dynamics_and_surveillance
 TMEM11	Mitochondrial_dynamics_and_surveillance
 TOMM20	Mitochondrial_dynamics_and_surveillance
 TOMM7	Mitochondrial_dynamics_and_surveillance
 USP30	Mitochondrial_dynamics_and_surveillance
 VDAC1	Mitochondrial_dynamics_and_surveillance
 VPS13D	Mitochondrial_dynamics_and_surveillance
