Genes	MitoPathways_Hierarchy
 MT-ND6	OXPHOS
 NDUFA1	OXPHOS
 NDUFA10	OXPHOS
 NDUFA11	OXPHOS
 NDUFA12	OXPHOS
 NDUFA13	OXPHOS
 NDUFA2	OXPHOS
 NDUFA3	OXPHOS
 NDUFA4	OXPHOS
 NDUFA5	OXPHOS
 NDUFA6	OXPHOS
 NDUFA7	OXPHOS
 NDUFA8	OXPHOS
 NDUFA9	OXPHOS
 NDUFAB1	OXPHOS
 NDUFAF1	OXPHOS
 NDUFAF2	OXPHOS
 NDUFAF3	OXPHOS
 NDUFAF4	OXPHOS
 NDUFAF5	OXPHOS
 NDUFAF6	OXPHOS
 NDUFAF7	OXPHOS
 NDUFAF8	OXPHOS
 NDUFB1	OXPHOS
 NDUFB10	OXPHOS
 NDUFB11	OXPHOS
 NDUFB2	OXPHOS
 NDUFB3	OXPHOS
 NDUFB4	OXPHOS
 NDUFB5	OXPHOS
 NDUFB6	OXPHOS
 NDUFB7	OXPHOS
 NDUFB8	OXPHOS
 NDUFB9	OXPHOS
 NDUFC1	OXPHOS
 NDUFC2	OXPHOS
 NDUFS1	OXPHOS
 NDUFS2	OXPHOS
 NDUFS3	OXPHOS
 NDUFS4	OXPHOS
 NDUFS5	OXPHOS
 NDUFS6	OXPHOS
 NDUFS7	OXPHOS
 NDUFS8	OXPHOS
 NDUFV1	OXPHOS
 NDUFV2	OXPHOS
 NDUFV3	OXPHOS
 NUBPL	OXPHOS
 PET100	OXPHOS
 PET117	OXPHOS
 PNKD	OXPHOS
 RAB5IF	OXPHOS
 SCO1	OXPHOS
 SCO2	OXPHOS
 SDHA	OXPHOS
 SDHAF1	OXPHOS
 SDHAF2	OXPHOS
 SDHAF3	OXPHOS
 SDHAF4	OXPHOS
 SDHB	OXPHOS
 SDHC	OXPHOS
 SDHD	OXPHOS
 SMIM20	OXPHOS
 SURF1	OXPHOS
 TACO1	OXPHOS
 TIMM21	OXPHOS
 TIMMDC1	OXPHOS
 TMEM126A	OXPHOS
 TMEM126B	OXPHOS
 TMEM177	OXPHOS
 TMEM186	OXPHOS
 TMEM70	OXPHOS
 TTC19	OXPHOS
 UQCC1	OXPHOS
 UQCC2	OXPHOS
 UQCC3	OXPHOS
 UQCR10	OXPHOS
 UQCR11	OXPHOS
 UQCRB	OXPHOS
 UQCRC1	OXPHOS
 UQCRC2	OXPHOS
 UQCRFS1	OXPHOS
 UQCRH	OXPHOS
 UQCRQ	OXPHOS
